date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:49	500/500	---MCZ	200	added ('OK')	text/plain	etag:cacheable:417b7dde22ce3f304c8fb1c054800317	https://www.laurencraft.com/robots.txt		(from )
15:26:49	164938/164938	---MCZ	200	added ('OK')	text/html	etag:cacheable:9695a6b2a296fb90bba6c1931596a52d	https://www.laurencraft.com/	C:/Users/keega/Downloads/grisdesigns/www.laurencraft.com/index.html	(from )
15:26:50	744/744	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2002:06:36%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~Information~NoAddressLocation~Payment~PostPurchase~Review~Shipping~ShopPay~Sho~cf13f96e.latest.en.04837ae4ff5a8e949953.js	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_Information_NoAddressLocation_Payment_PostPurchase_Review_Shipping_ShopPay_Sho_cf13f96e.latest.en.04837ae4ff5a8e949953.js	(from https://www.laurencraft.com/)
15:26:50	48156/48156	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2003:22:37%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information~Payment~ShopPay.latest.en.84ff9c0024faf7f72c14.js	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/Information_Payment_ShopPay.latest.en.84ff9c0024faf7f72c14.js	(from https://www.laurencraft.com/)
15:26:50	128900/128900	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2001:40:52%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/Information.latest.en.900911b3d82c82309ebf.js	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/Information.latest.en.900911b3d82c82309ebf.js	(from https://www.laurencraft.com/)
15:26:50	298386/298386	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2003:17:39%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-ui~app.latest.en.86cd9328cdcd6cd3a58f.js	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-ui_app.latest.en.86cd9328cdcd6cd3a58f.js	(from https://www.laurencraft.com/)
15:26:51	175498/175498	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2003:25:30%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/vendors~app.latest.en.b4546f9bffad10b3673b.js	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/vendors_app.latest.en.b4546f9bffad10b3673b.js	(from https://www.laurencraft.com/)
15:26:51	71623/71623	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Mar%202023%2001:00:35%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages~app.latest.en.f5154093d2604596d084.js	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/checkout-web-packages_app.latest.en.f5154093d2604596d084.js	(from https://www.laurencraft.com/)
15:26:51	150732/150732	---MCZ	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2002:49:04%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/vendors~app.latest.en.e788719f193b49c039a3.css	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/vendors_app.latest.en.e788719f193b49c039a3.css	(from https://www.laurencraft.com/)
15:26:51	6666/6666	---MCZ	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2002:24:26%20GMT	https://cdn.shopify.com/shopifycloud/checkout-web/assets/app.latest.en.6b4c79ead7042980b29d.css	C:/Users/keega/Downloads/grisdesigns/cdn.shopify.com/shopifycloud/checkout-web/assets/app.latest.en.6b4c79ead7042980b29d.css	(from https://www.laurencraft.com/)
